county_fips,cdd_annual,hdd_annual
13021,2371,1991
13023,2429,1865
13025,2843,1435
13027,2661,1534
13029,2728,1595
13031,2588,1720
13033,2364,1945
13035,2238,2205
13037,2691,1671
13039,3068,1230
13043,2572,1738
13045,1858,2501
13047,1886,2833
13049,3076,1275
13051,2792,1501
13053,2393,1937
13055,1657,2931
13057,1744,2771
13059,1993,2434
13061,2630,1701
13063,2138,2305
13065,2937,1438
13067,1940,2574
13069,2692,1624
13071,2508,1658
13073,2299,2113
13075,2531,1650
13077,2118,2274
13079,2309,2011
13081,2651,1733
13083,1588,3060
13085,1418,2945
13087,2932,1446
13089,2049,2414
13091,2488,1787
13093,2566,1802
13095,2763,1647
13097,1962,2473
13099,2767,1613
13101,2952,1427
13103,2643,1670
13105,2126,2386
13107,2513,1795
13109,2650,1670
13111,1058,3482
13113,2168,2259
13115,1809,2762
13117,1669,2741
13119,1917,2555
13121,2018,2448
13123,1197,3248
13125,2252,2089
13127,2912,1342
13129,1813,2810
13131,2825,1446
13133,2176,2259
13135,1899,2524
13137,1484,2871
13139,1724,2656
13141,2270,2114
13143,1691,2668
13145,2152,2153
13147,1969,2528
13149,2042,2342
13151,2169,2271
13153,2424,1896
13155,2564,1736
13157,1953,2460
13159,2254,2213
13161,2639,1650
13163,2344,1990
13165,2446,1842
13167,2463,1849
13169,2343,2061
13171,2208,2130
13173,2698,1556
13175,2493,1811
13177,2743,1683
13179,2724,1592
13181,2215,2241
13183,2711,1598
13185,2707,1528
13187,1284,3083
13189,2200,2178
13191,2783,1452
13193,2466,1887
13195,1985,2467
13197,2307,1972
13199,2106,2212
13201,2821,1560
13205,2703,1587
13207,2287,2098
13209,2587,1724
13211,2154,2297
13213,1680,2920
13215,2373,1985
13217,2129,2326
13219,2042,2391
13221,2093,2376
13223,1837,2643
13225,2330,1970
13227,1472,2945
13229,2862,1478
13231,2182,2151
13233,1839,2641
13235,2504,1821
13237,2302,2156
13239,2517,1795
13241,1101,3285
13243,2531,1775
13245,2369,2025
13247,2102,2356
13249,2432,1883
13251,2476,1832
13253,2947,1484
13255,2214,2187
13257,1781,2653
13259,2416,1891
13261,2612,1760
13263,2168,2106
