zip,eiaid,utility_name,state,service_type,ownership,comm_rate,ind_rate,res_rate
39730,55,City of Aberdeen - (MS),MS,Bundled,Municipal,0.12078527440372903,0.056459217350306456,0.12298840503519379
38858,55,City of Aberdeen - (MS),MS,Bundled,Municipal,0.12078527440372903,0.056459217350306456,0.12298840503519379
21864,84,A & N Electric Coop,MD,Bundled,Cooperative,0.13544973544973543,0,0.13692722371967656
21824,84,A & N Electric Coop,MD,Bundled,Cooperative,0.13544973544973543,0,0.13692722371967656
21866,84,A & N Electric Coop,MD,Bundled,Cooperative,0.13544973544973543,0,0.13692722371967656
21851,84,A & N Electric Coop,MD,Bundled,Cooperative,0.13544973544973543,0,0.13692722371967656
21863,84,A & N Electric Coop,MD,Bundled,Cooperative,0.13544973544973543,0,0.13692722371967656
23302,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11647814194984007,0.09706420462118183,0.13021379621427445
23308,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11647814194984007,0.09706420462118183,0.13021379621427445
23486,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11647814194984007,0.09706420462118183,0.13021379621427445
23350,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11647814194984007,0.09706420462118183,0.13021379621427445
23395,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11647814194984007,0.09706420462118183,0.13021379621427445
23410,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11647814194984007,0.09706420462118183,0.13021379621427445
23417,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11647814194984007,0.09706420462118183,0.13021379621427445
23416,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11647814194984007,0.09706420462118183,0.13021379621427445
23426,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11647814194984007,0.09706420462118183,0.13021379621427445
23418,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11647814194984007,0.09706420462118183,0.13021379621427445
23421,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11647814194984007,0.09706420462118183,0.13021379621427445
23306,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11647814194984007,0.09706420462118183,0.13021379621427445
23488,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11647814194984007,0.09706420462118183,0.13021379621427445
23414,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11647814194984007,0.09706420462118183,0.13021379621427445
23442,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11647814194984007,0.09706420462118183,0.13021379621427445
23358,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11647814194984007,0.09706420462118183,0.13021379621427445
23307,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11647814194984007,0.09706420462118183,0.13021379621427445
23301,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11647814194984007,0.09706420462118183,0.13021379621427445
23480,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11647814194984007,0.09706420462118183,0.13021379621427445
23401,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11647814194984007,0.09706420462118183,0.13021379621427445
23356,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11647814194984007,0.09706420462118183,0.13021379621427445
23415,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11647814194984007,0.09706420462118183,0.13021379621427445
23336,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11647814194984007,0.09706420462118183,0.13021379621427445
23359,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11647814194984007,0.09706420462118183,0.13021379621427445
23357,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11647814194984007,0.09706420462118183,0.13021379621427445
23341,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11647814194984007,0.09706420462118183,0.13021379621427445
23423,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11647814194984007,0.09706420462118183,0.13021379621427445
23427,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11647814194984007,0.09706420462118183,0.13021379621427445
23303,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11647814194984007,0.09706420462118183,0.13021379621427445
23337,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11647814194984007,0.09706420462118183,0.13021379621427445
23420,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11647814194984007,0.09706420462118183,0.13021379621427445
23310,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11647814194984007,0.09706420462118183,0.13021379621427445
23407,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11647814194984007,0.09706420462118183,0.13021379621427445
23354,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11647814194984007,0.09706420462118183,0.13021379621427445
23413,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11647814194984007,0.09706420462118183,0.13021379621427445
23409,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11647814194984007,0.09706420462118183,0.13021379621427445
23405,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11647814194984007,0.09706420462118183,0.13021379621427445
23313,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11647814194984007,0.09706420462118183,0.13021379621427445
23316,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11647814194984007,0.09706420462118183,0.13021379621427445
23443,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11647814194984007,0.09706420462118183,0.13021379621427445
23404,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11647814194984007,0.09706420462118183,0.13021379621427445
23408,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11647814194984007,0.09706420462118183,0.13021379621427445
